celldm(1) Total_Energy
9.5412265164 -190.60820476
9.6472401443 -190.63032617
9.7532537723 -190.64903300
9.8592674002 -190.66463962
9.9652810282 -190.67743458
10.0712946562 -190.68768531
10.1773082841 -190.69563061
10.2833219121 -190.70149388
10.3893355400 -190.70547676
10.4953491680 -190.70776422
10.6013627960 -190.70853467
10.7073764239 -190.70793853
10.8133900519 -190.70614742
10.9194036798 -190.70329741
11.0254173078 -190.69947494
11.1314309358 -190.69478844
11.2374445637 -190.68934173
11.3434581917 -190.68322333
11.4494718196 -190.67651629
11.5554854476 -190.66929446
11.6614990756 -190.66163032
